Provincia,Comune,Fonte,Potenza (GW)
BARI,ACQUAVIVA DELLE FONTI,Solare,"0,1"
BARI,ACQUAVIVA DELLE FONTI,Eolico on-shore,"0,16"
BARI,ALTAMURA,Solare,"0,09"
BARI,ALTAMURA,Eolico on-shore,"0,35"
BARI,BARI (off-shore),Eolico off-shore,"4,42"
BARI,BITONTO,Solare,"0,12"
BARI,BITRITTO,Solare,"0,01"
BARI,CASAMASSIMA,Solare,"0,05"
BARI,CASAMASSIMA,Eolico on-shore,"0,11"
BARI,CASSANO DELLE MURGE,Solare,"0,02"
BARI,CASSANO DELLE MURGE,Eolico on-shore,"0,07"
BARI,CONVERSANO,Eolico on-shore,"0,11"
BARI,GIOVINAZZO,Solare,"0,05"
BARI,GRAVINA IN PUGLIA,Solare,"0,83"
BARI,GRAVINA IN PUGLIA,Eolico on-shore,"0,27"
BARI,GRUMO APPULA,Solare,"0,02"
BARI,GRUMO APPULA,Eolico on-shore,"0,16"
BARI,PALO DEL COLLE,Solare,"0,06"
BARI,POGGIORSINI,Solare,"0,17"
BARI,POGGIORSINI,Eolico on-shore,"0,01"
BARI,RUVO DI PUGLIA,Solare,"0,05"
BARI,SANTERAMO IN COLLE,Solare,"0,29"
BARI,SANTERAMO IN COLLE,Eolico on-shore,"0,32"
BARI,TORITTO,Solare,"0,04"
BARI,TORITTO,Eolico on-shore,"0,05"
BARI,TURI,Eolico on-shore,"0,12"
BARLETTA-ANDRIA-TRANI,ANDRIA,Solare,"0,02"
BARLETTA-ANDRIA-TRANI,ANDRIA,Eolico on-shore,"0,03"
BARLETTA-ANDRIA-TRANI,BARLETTA-ANDRIA-TRANI (off-shore),Eolico off-shore,"5,96"
BARLETTA-ANDRIA-TRANI,CANOSA DI PUGLIA,Solare,"0,04"
BARLETTA-ANDRIA-TRANI,CANOSA DI PUGLIA,Eolico on-shore,"0,3"
BARLETTA-ANDRIA-TRANI,MINERVINO MURGE,Solare,"0,11"
BARLETTA-ANDRIA-TRANI,MINERVINO MURGE,Eolico on-shore,"0,04"
BARLETTA-ANDRIA-TRANI,SAN FERDINANDO DI PUGLIA,Eolico on-shore,"0,03"
BARLETTA-ANDRIA-TRANI,SPINAZZOLA,Solare,"0,44"
BARLETTA-ANDRIA-TRANI,SPINAZZOLA,Eolico on-shore,"0,25"
BARLETTA-ANDRIA-TRANI,TRANI,Solare,"0,03"
BARLETTA-ANDRIA-TRANI,TRINITAPOLI,Eolico on-shore,"0,11"
BRINDISI,BRINDISI,Solare,"2,54"
BRINDISI,BRINDISI,Eolico on-shore,"0,3"
BRINDISI,BRINDISI (off-shore),Eolico off-shore,"7,56"
BRINDISI,CELLINO SAN MARCO,Solare,"0,13"
BRINDISI,ERCHIE,Solare,"0,16"
BRINDISI,ERCHIE,Eolico on-shore,"0,26"
BRINDISI,FRANCAVILLA FONTANA,Solare,"0,28"
